N,Date,Team1,HA1,Score1,Team2,HA2,Score2
737113,20180223,2,0,7,13,0,6
737127,20180309,1,0,15,6,0,4
737128,20180310,6,0,4,1,0,2
737141,20180323,7,-1,5,8,1,1
737141,20180323,1,-1,5,9,1,4
737141,20180323,5,1,12,6,-1,3
737141,20180323,13,1,4,11,-1,1
737141,20180323,2,-1,4,3,1,2
737141,20180323,3,1,5,2,-1,1
737142,20180324,5,-1,3,6,1,1
737142,20180324,1,-1,5,9,1,4
737142,20180324,8,1,8,7,-1,2
737142,20180324,13,1,1,11,-1,0
737143,20180325,7,-1,2,8,1,0
737143,20180325,11,-1,9,13,1,3
737143,20180325,5,1,11,6,-1,0
737143,20180325,1,-1,4,9,1,2
737148,20180330,9,-1,4,4,1,0
737148,20180330,8,-1,7,10,1,3
737148,20180330,13,-1,8,6,1,4
737148,20180330,12,-1,3,11,1,2
737148,20180330,3,-1,8,1,1,5
737148,20180330,13,-1,6,6,1,4
737149,20180331,10,1,7,8,-1,4
737149,20180331,1,1,13,3,-1,12
737149,20180331,12,-1,9,11,1,0
737149,20180331,4,1,6,9,-1,5
737149,20180331,12,-1,6,11,1,3
737150,20180401,10,1,15,8,-1,14
737150,20180401,3,-1,4,1,1,2
737150,20180401,4,1,4,9,-1,3
737150,20180401,6,1,6,13,-1,0
737155,20180406,12,-1,4,2,1,2
737155,20180406,7,0,7,11,0,6
737155,20180406,1,-1,10,4,1,6
737155,20180406,4,1,7,1,-1,1
737156,20180407,5,-1,6,9,1,0
737156,20180407,2,1,14,12,-1,1
737156,20180407,6,1,17,8,-1,5
737156,20180407,3,1,9,10,-1,5
737156,20180407,7,0,17,11,0,2
737156,20180407,10,-1,2,3,1,1
737156,20180407,5,-1,3,9,1,0
737157,20180408,7,0,8,11,0,2
737157,20180408,3,1,2,10,-1,1
737157,20180408,5,-1,7,9,1,3
737157,20180408,1,-1,4,4,1,2
737157,20180408,6,1,5,8,-1,3
737157,20180408,2,1,7,12,-1,5
737162,20180413,8,1,10,3,-1,4
737162,20180413,1,1,13,13,-1,12
737162,20180413,2,1,12,9,-1,0
737162,20180413,10,-1,1,11,1,0
737162,20180413,7,-1,22,12,1,7
737162,20180413,5,1,10,4,-1,4
737162,20180413,2,1,6,9,-1,3
737162,20180413,3,-1,7,8,1,1
737163,20180414,7,-1,18,12,1,8
737163,20180414,1,1,2,13,-1,1
737163,20180414,10,-1,5,11,1,1
737163,20180414,10,-1,19,11,1,8
737164,20180415,2,1,22,9,-1,1
737164,20180415,1,1,10,13,-1,4
737164,20180415,5,1,6,4,-1,3
737169,20180420,6,-1,5,9,1,3
737169,20180420,2,-1,4,10,1,0
737169,20180420,7,1,4,3,-1,3
737169,20180420,13,1,4,8,-1,2
737169,20180420,12,-1,7,4,1,1
737169,20180420,5,1,19,11,-1,5
737170,20180421,5,1,8,11,-1,7
737170,20180421,6,-1,4,9,1,2
737170,20180421,8,-1,12,13,1,4
737170,20180421,10,1,5,2,-1,4
737170,20180421,7,1,3,3,-1,0
737170,20180421,12,-1,4,4,1,3
737171,20180422,3,-1,5,7,1,3
737171,20180422,6,-1,6,9,1,5
737171,20180422,13,1,8,8,-1,4
737171,20180422,12,-1,8,4,1,6
737171,20180422,10,1,6,2,-1,5
737171,20180422,5,1,14,11,-1,2
737174,20180425,12,1,5,2,-1,3
737176,20180427,6,1,4,4,-1,2
737176,20180427,3,1,4,5,-1,2
737176,20180427,9,-1,7,11,1,6
737176,20180427,1,-1,3,2,1,2
737176,20180427,7,-1,11,10,1,1
737176,20180427,12,1,4,13,-1,0
737177,20180428,2,1,2,1,-1,1
737177,20180428,9,-1,8,11,1,7
737177,20180428,12,1,9,13,-1,4
737177,20180428,7,-1,2,10,1,1
737177,20180428,4,-1,8,6,1,2
